Time, Remote IP, Local Port, Protocol
21,3663714663,80,10
21,3663714663,80,10
0,1583759342,53,5
1,1583759106,53,5
1,1509466852,53,5
2,636953695,443,10
2,636953695,443,10
2,636953695,443,10
2,3662499618,80,10
2,3662499618,80,10
2,1440146523,443,10
2,1440146523,443,10
3,1440146523,443,10
3,1440146523,443,10
3,1440146523,443,10
4,3625473877,80,10
4,3625473877,80,10
4,3625473877,80,10
4,3625473877,80,10
4,3625473877,80,10
4,3625473877,80,10
4,3625473877,80,10
4,3662499618,443,10
4,3662499618,443,10
8,2061634618,80,10
8,2061634618,80,10
8,2061634618,80,10
8,2061634618,80,10
8,2061634618,80,10
9,3093924685,53,5
11,1728901186,80,10
11,1728901186,80,10
11,1728901186,80,10
11,1728901186,80,10
12,1045155821,53,5
12,3157709073,80,10
12,3157709073,80,10
12,3157709073,80,10
12,3157709073,80,10
12,3417402628,68,5
12,3417402628,68,5
12,3417402628,68,5
13,3514754636,80,10
13,3514754636,80,10
13,3514754636,80,10
13,3514754636,80,10
