22,22,2014-03-05,16:0:2,819,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,01010600E8E83C3A170F00000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
23,23,2014-03-05,16:10:1,503,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,0101060091E63C3A196600000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
24,24,2014-03-05,16:19:37,578,+8:00,203.177.109.4,67,203.177.109.21,68,UDP,RX,020106007CD6196F000080000000000000000000CBB16D0400000000902B34EB553500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501063604CBB16D04381F7265717565737465642061646472657373206E6F7420617661696C61626C6552120106000400540141020800062401C70AA015FF,303
25,25,2014-03-05,16:19:42,574,+8:00,203.177.109.4,67,203.177.109.21,68,UDP,RX,020106007CD6196F050080000000000000000000CBB16D0400000000902B34EB553500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501063604CBB16D04381F7265717565737465642061646472657373206E6F7420617661696C61626C6552120106000400540141020800062401C70AA015FF,303
26,26,2014-03-05,16:19:49,569,+8:00,203.177.109.4,67,203.177.109.21,68,UDP,RX,020106007CD6196F0C0080000000000000000000CBB16D0400000000902B34EB553500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501063604CBB16D04381F7265717565737465642061646472657373206E6F7420617661696C61626C6552120106000400540141020800062401C70AA015FF,303
27,27,2014-03-05,16:20:0,358,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,0101060039E43C3A1BBE00000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
28,28,2014-03-05,16:29:59,745,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,01010600E2E13C3A1E1500000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
29,29,2014-03-05,16:40:0,771,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,010106008ADF3C3A206D00000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
30,30,2014-03-05,16:50:1,603,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,0101060031DD3C3A22C600000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
31,31,2014-03-05,17:0:1,655,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,01010600D8DA3C3A251F00000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
