22,    22,    2013-10-31,    15:17:52,    269,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106004230048D0010000000000000000000000000000000000000F0E77E4FAF1700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501013D0701F0E77E4FAF17390205DC3C0D64686370636420342E302E3135370B01792103060F1C333A3B77FF000000000000000000000000000000,    300
23,    23,    2013-10-31,    15:17:58,    820,    +8:00,    10.11.249.44,    68,    10.11.252.118,    67,    UDP,    RX,    0101060060CDA870000000000A0BF92C000000000000000000000000A4173158407200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D0701A417315840720C0861646D696E2D50433C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF000000000000000000000000,    300
24,    24,    2013-10-31,    15:18:0,    467,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106002C007B6C0000000000000000000000000000000000000000101C0C638C54000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006382536335010137060103060F77FC390205DC3D0701101C0C638C5433040076A7000C09456C4C65614C6F6361FF000000000000000000000000000000000000,    300
25,    25,    2013-10-31,    15:18:2,    507,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106002C007B6C0002000000000000000000000000000000000000101C0C638C54000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006382536335010337060103060F77FC390205DC3D0701101C0C638C5432040A0BF96B36040A0BFFFE0C09456C4C65614C6F6361FF000000000000000000000000,    300
26,    26,    2013-10-31,    15:18:10,    697,    +8:00,    10.11.252.136,    68,    10.11.252.118,    67,    UDP,    RX,    01010600CD594477000000000A0BFC8800000000000000000000000090A4DEC4289F00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D070190A4DEC4289F0C0A73616D73756E672D50433C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF00000000000000000000,    300
27,    27,    2013-10-31,    15:18:11,    522,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    0101060026A79BC20000000000000000000000000000000000000000ECF35BAD132000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501013D0701ECF35BAD13200C0D57696E646F77732D50686F6E653C084D53465420352E30370D010F03062C2E2F1F2179F9FC2BFF00000000000000,    300
28,    28,    2013-10-31,    15:18:12,    750,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    0101060026A79BC20000000000000000000000000000000000000000ECF35BAD132000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D0701ECF35BAD132032040A0BFFDD36040A0BFFFE0C0D57696E646F77732D50686F6E65512800000057696E646F77732D50686F6E652E706F7274616C2E61642E6D73756969742E6564752E70683C084D53465420352E30370D010F03062C2E2F1F2179F9FC2BFF,    347
29,    29,    2013-10-31,    15:18:13,    154,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    01010600892F28E7FFFF000000000000000000000000000000000000F8D0BD434A2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D0701F8D0BD434A2532040A0BFBAD390205DC3C0D64686370636420342E302E3135370B01792103060F1C333A3B77FF000000000000000000,    300
30,    30,    2013-10-31,    15:18:19,    710,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    01010600ABCD0116000000000000000000000000000000000000000010683F665FFB000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006382536335010139020240370401031C06FF000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,    308
31,    31,    2013-10-31,    15:18:20,    529,    +8:00,    10.11.252.174,    68,    10.11.252.118,    67,    UDP,    RX,    01010600D98A31AC000000000A0BFCAE00000000000000000000000088252C57B3DA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D070188252C57B3DA0C0744454C4C2D50433C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF00000000000000000000000000,    300
32,    32,    2013-10-31,    15:18:20,    734,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    01010600ABCD0117000000000000000000000000000000000000000010683F665FFB00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033902024032040A0BFA0F36040A0BFFFE370401031C06FF000000000000000000000000000000000000000000000000000000000000000000000000000000000000,    308
33,    33,    2013-10-31,    15:18:22,    168,    +8:00,    10.11.252.16,    68,    10.11.252.118,    67,    UDP,    RX,    010106003D2AFB16000000000A0BFC100000000000000000000000009439E5A39BB100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D07019439E5A39BB10C0D6D796E616D656973656C7369783C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF00000000000000,    300
